latitude,longitude,ls,surf_pressure,temp_differential,opacity_tau,global_storm_next_3_sols,future_opacity_tau
-22.5,-174.375,333.1904676090703,600.0,20.341150412918676,0.1,0.0,0.1
-52.5,-180.0,333.1904676090703,600.0,26.631238971738142,0.1,0.0,0.1
18.75,-45.0,333.1904676090703,600.0,19.371379219308754,0.1,0.0,0.1
63.75,-22.5,333.1904676090703,600.0,14.30207962323932,0.1,0.0,0.1
-11.25,45.0,333.1904676090703,600.0,16.462692423355158,0.1,0.0,0.1
78.75,146.25,333.1904676090703,600.0,17.610517721916672,0.1,0.0,0.1
-90.0,11.25,333.1904676090703,600.0,21.048058957554666,0.1,0.0,0.1
-7.5,-140.625,333.1904676090703,600.0,16.009484836268225,0.1,0.0,0.1
-18.75,-11.25,333.1904676090703,600.0,11.785678540606037,0.1,0.0,0.1
-82.5,67.5,333.1904676090703,600.0,18.459364711749004,0.1,0.0,0.1
0.0,101.25,333.1904676090703,600.0,17.685257860228855,0.1,0.0,0.1
-67.5,129.375,333.1904676090703,600.0,3.0036852497409594,0.1,0.0,0.1
-67.5,118.125,333.1904676090703,600.0,22.999379179361448,0.1,0.0,0.1
-45.0,-56.25,333.1904676090703,600.0,21.678860345812442,0.1,0.0,0.1
56.25,-163.125,333.1904676090703,600.0,12.24172069857666,0.1,0.0,0.1
-90.0,-67.5,333.1904676090703,600.0,12.699525032331302,0.1,0.0,0.1
-56.25,84.375,333.1904676090703,600.0,18.596486888277813,0.1,0.0,0.1
-63.75,-78.75,333.1904676090703,600.0,12.22319247335906,0.1,0.0,0.1
-52.5,-28.125,333.1904676090703,600.0,17.203476456155908,0.1,0.0,0.1
7.5,-33.75,333.1904676090703,600.0,20.42874170307621,0.1,0.0,0.1
67.5,45.0,171.06148667679912,600.0,18.335773642957538,0.1,0.0,0.1
48.75,22.5,171.06148667679912,600.0,7.973746917434806,0.1,0.0,0.1
-3.75,-90.0,171.06148667679912,600.0,12.701687220838608,0.1,0.0,0.1
-60.0,-84.375,171.06148667679912,600.0,14.853215070989084,0.1,0.0,0.1
11.25,56.25,171.06148667679912,600.0,13.79218014785997,0.1,0.0,0.1
-18.75,163.125,171.06148667679912,600.0,12.860930340893432,0.1,0.0,0.1
-67.5,28.125,171.06148667679912,600.0,19.81479803642894,0.1,0.0,0.1
56.25,-140.625,171.06148667679912,600.0,22.312168159395398,0.1,0.0,0.1
0.0,-174.375,171.06148667679912,600.0,12.640096637940317,0.1,0.0,0.1
48.75,-28.125,171.06148667679912,600.0,10.13442497345121,0.1,0.0,0.1
52.5,-123.75,171.06148667679912,600.0,19.569428847849927,0.1,0.0,0.1
30.0,-5.625,171.06148667679912,600.0,23.604858901956845,0.1,0.0,0.1
-30.0,118.125,171.06148667679912,600.0,14.157721596405679,0.1,0.0,0.1
18.75,129.375,171.06148667679912,600.0,22.083703156773204,0.1,0.0,0.1
-33.75,135.0,171.06148667679912,600.0,20.006117729476316,0.1,0.0,0.1
-82.5,174.375,171.06148667679912,600.0,9.278230221816877,0.1,0.0,0.1
63.75,5.625,171.06148667679912,600.0,18.685357214013095,0.1,0.0,0.1
-41.25,151.875,171.06148667679912,600.0,20.48353438997965,0.1,0.0,0.1
30.0,11.25,171.06148667679912,600.0,8.3944438730658,0.1,0.0,0.1
-15.0,61.875,171.06148667679912,600.0,13.898680109448897,0.1,0.0,0.1
18.75,-78.75,259.62625542692757,600.0,11.89449409246236,0.1,0.0,0.1
-15.0,28.125,259.62625542692757,600.0,8.875252440387573,0.1,0.0,0.1
48.75,174.375,259.62625542692757,600.0,15.458973236994826,0.1,0.0,0.1
-86.25,-174.375,259.62625542692757,600.0,13.299542135284163,0.1,0.0,0.1
82.5,-123.75,259.62625542692757,600.0,9.379198275486992,0.1,0.0,0.1
-15.0,146.25,259.62625542692757,600.0,5.997901456642737,0.1,0.0,0.1
86.25,135.0,259.62625542692757,600.0,8.542497096960206,0.1,0.0,0.1
7.5,33.75,259.62625542692757,600.0,19.614317564306788,0.1,0.0,0.1
78.75,112.5,259.62625542692757,600.0,12.762986032385058,0.1,0.0,0.1
45.0,11.25,259.62625542692757,600.0,16.62978935310784,0.1,0.0,0.1
11.25,174.375,259.62625542692757,600.0,18.11387631352518,0.1,0.0,0.1
-90.0,-56.25,259.62625542692757,600.0,18.58572827604189,0.1,0.0,0.1
86.25,-168.75,259.62625542692757,600.0,13.82777162157723,0.1,0.0,0.1
